Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
572,Democratic,Conservative,White,Female,Protestant,Less than 30000,College,30-44,South,Disapprove,Obama
573,Democratic,Conservative,White,Female,Protestant,100000-149999,H.S. diploma or less,65+,Midwest,Disapprove,McCain
574,Independent,Liberal,Black,Female,Catholic,30000-49999,Post-Grad,65+,Midwest,Disapprove,Obama
575,Democratic,Conservative,White,Male,Catholic,30000-49999,College,65+,West,Disapprove,McCain
576,Republican,Conservative,White,Male,Catholic,30000-49999,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
577,Republican,Moderate,White,Male,Catholic,100000-149999,College,45-64,West,Disapprove,McCain
578,Republican,Conservative,White,Male,Catholic,30000-49999,College,18-29,West,Disapprove,Obama
579,Democratic,Moderate,White,Male,Protestant,100000-149999,College,30-44,Northeast,Disapprove,Obama
580,Democratic,Moderate,White,Female,Other,150000+,College,18-29,West,Disapprove,Obama
581,Republican,Moderate,White,Female,Protestant,100000-149999,College,30-44,South,Approve,Obama
582,Independent,Moderate,White,Female,Protestant,30000-49999,Post-Grad,30-44,Midwest,Disapprove,Obama
583,Democratic,Conservative,White,Female,Protestant,150000+,Post-Grad,30-44,South,Disapprove,Obama
584,Democratic,Conservative,White,Female,Protestant,30000-49999,College,45-64,South,Approve,Obama
585,Republican,Conservative,White,Female,Protestant,Less than 30000,College,45-64,Midwest,Disapprove,Obama
586,Independent,Conservative,White,Male,Protestant,30000-49999,H.S. diploma or less,65+,West,Disapprove,McCain
587,Independent,Conservative,Black,Male,Catholic,75000-99999,College,45-64,South,Approve,Obama
588,Republican,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,65+,South,Disapprove,Obama
589,Republican,Liberal,White,Male,Other,100000-149999,College,30-44,Midwest,Disapprove,Obama
590,Independent,Moderate,White,Male,Other,75000-99999,College,18-29,West,Disapprove,Obama
591,Democratic,Moderate,White,Male,Other,100000-149999,College,30-44,Midwest,Approve,Obama
592,Democratic,Moderate,White,Male,Protestant,30000-49999,Post-Grad,30-44,West,Disapprove,Obama
593,Republican,Moderate,White,Male,Other,Less than 30000,College,30-44,West,Disapprove,Obama
594,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,65+,Northeast,Disapprove,Obama
595,Democratic,Conservative,White,Female,Catholic,50000-74999,Post-Grad,45-64,Midwest,Disapprove,Obama
596,Republican,Liberal,White,Female,Protestant,75000-99999,H.S. diploma or less,65+,West,Disapprove,Obama
597,Independent,Moderate,Black,Female,Catholic,Less than 30000,College,45-64,Northeast,Disapprove,Obama
598,Democratic,Liberal,Black,Female,Catholic,75000-99999,College,65+,South,Approve,Obama
599,Democratic,Liberal,White,Female,Catholic,Less than 30000,College,18-29,Northeast,Disapprove,Obama
600,Republican,Conservative,White,Female,Other,75000-99999,College,18-29,Northeast,Disapprove,Obama
601,Republican,Liberal,White,Male,Catholic,100000-149999,College,18-29,South,Approve,Obama
602,Independent,Moderate,White,Male,Other,75000-99999,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
603,Independent,Moderate,White,Male,Protestant,Less than 30000,Post-Grad,30-44,South,Approve,Obama
604,Democratic,Moderate,White,Female,Catholic,100000-149999,College,45-64,South,Approve,Obama
605,Republican,Moderate,Other,Male,Protestant,30000-49999,College,30-44,Midwest,Disapprove,Obama
606,Republican,Moderate,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,West,Disapprove,Obama
607,Independent,Liberal,Black,Female,Protestant,30000-49999,H.S. diploma or less,45-64,Midwest,Approve,Obama
608,Democratic,Conservative,Black,Female,Protestant,50000-74999,College,45-64,Midwest,Disapprove,Obama
609,Democratic,Conservative,White,Male,Protestant,30000-49999,College,30-44,West,Disapprove,Obama
610,Republican,Moderate,White,Male,Protestant,50000-74999,College,65+,Northeast,Disapprove,McCain
611,Independent,Conservative,White,Female,Catholic,150000+,College,30-44,West,Disapprove,Obama
612,Democratic,Moderate,White,Male,Catholic,50000-74999,College,30-44,Northeast,Disapprove,Obama
613,Republican,Moderate,White,Male,Catholic,150000+,Post-Grad,30-44,South,Disapprove,Obama
614,Republican,Moderate,White,Female,Protestant,150000+,Post-Grad,45-64,South,Approve,McCain
615,Independent,Moderate,White,Male,Catholic,30000-49999,Post-Grad,30-44,Northeast,Disapprove,Obama
616,Democratic,Moderate,White,Male,Protestant,30000-49999,College,65+,South,Disapprove,Obama
617,Democratic,Moderate,White,Male,Protestant,Less than 30000,College,65+,Midwest,Disapprove,Obama
618,Republican,Liberal,White,Female,Protestant,30000-49999,College,45-64,Midwest,Disapprove,Obama
619,Independent,Moderate,Black,Female,Catholic,30000-49999,College,18-29,Northeast,Disapprove,Obama
620,Democratic,Moderate,White,Male,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
621,Republican,Liberal,Black,Female,Protestant,75000-99999,Post-Grad,18-29,South,Disapprove,Obama
622,Republican,Conservative,White,Female,Catholic,30000-49999,College,30-44,Midwest,Disapprove,Obama
623,Independent,Liberal,Other,Female,Other,100000-149999,Post-Grad,30-44,South,Approve,Obama
624,Democratic,Moderate,White,Male,Other,75000-99999,College,30-44,Midwest,Disapprove,Obama
625,Republican,Conservative,White,Female,Protestant,100000-149999,H.S. diploma or less,30-44,West,Disapprove,Obama
626,Republican,Moderate,White,Male,Catholic,30000-49999,H.S. diploma or less,30-44,Northeast,Approve,Obama
627,Independent,Moderate,White,Female,Other,100000-149999,Post-Grad,45-64,Midwest,Approve,McCain
628,Democratic,Moderate,White,Male,Protestant,30000-49999,College,45-64,West,Approve,Obama
629,Republican,Moderate,White,Female,Other,50000-74999,College,65+,Northeast,Approve,McCain
630,Republican,Moderate,Black,Male,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
631,Independent,Moderate,White,Female,Protestant,50000-74999,College,65+,West,Disapprove,McCain
632,Democratic,Liberal,White,Female,Protestant,50000-74999,College,30-44,Northeast,Approve,Obama
633,Democratic,Conservative,White,Male,Catholic,150000+,Post-Grad,30-44,South,Approve,Obama
634,Republican,Liberal,Black,Female,Catholic,150000+,Post-Grad,30-44,Midwest,Disapprove,Obama
635,Independent,Moderate,White,Male,Catholic,150000+,College,30-44,Northeast,Disapprove,Obama
636,Democratic,Moderate,White,Female,Protestant,30000-49999,H.S. diploma or less,30-44,South,Approve,Obama
637,Republican,Moderate,White,Male,Catholic,75000-99999,College,65+,Midwest,Disapprove,McCain
638,Republican,Moderate,White,Male,Protestant,Less than 30000,Post-Grad,45-64,Midwest,Disapprove,Obama
639,Independent,Moderate,White,Female,Protestant,30000-49999,Post-Grad,45-64,South,Disapprove,Obama
640,Democratic,Moderate,White,Female,Other,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
641,Republican,Moderate,White,Female,Protestant,30000-49999,College,45-64,West,Disapprove,Obama
642,Independent,Moderate,White,Male,Protestant,30000-49999,Post-Grad,30-44,Northeast,Disapprove,Obama
643,Democratic,Conservative,Other,Female,Protestant,50000-74999,College,45-64,Midwest,Approve,Obama
644,Democratic,Moderate,White,Female,Catholic,150000+,College,18-29,West,Disapprove,Obama
645,Republican,Liberal,Other,Female,Catholic,50000-74999,College,18-29,Northeast,Approve,Obama
646,Independent,Liberal,White,Female,Catholic,150000+,Post-Grad,45-64,South,Approve,McCain
647,Independent,Conservative,White,Male,Protestant,100000-149999,College,45-64,Northeast,Disapprove,Obama
648,Democratic,Conservative,White,Female,Protestant,150000+,Post-Grad,30-44,Northeast,Approve,Obama
649,Democratic,Moderate,White,Female,Protestant,30000-49999,Post-Grad,45-64,South,Disapprove,Obama
650,Republican,Moderate,White,Male,Protestant,Less than 30000,H.S. diploma or less,30-44,South,Disapprove,Obama
651,Democratic,Moderate,White,Male,Protestant,50000-74999,College,45-64,Northeast,Disapprove,Obama
652,Independent,Conservative,White,Male,Protestant,50000-74999,College,30-44,Northeast,Disapprove,Obama
653,Republican,Moderate,White,Male,Protestant,50000-74999,College,65+,South,Disapprove,McCain
654,Independent,Liberal,Other,Male,Protestant,75000-99999,H.S. diploma or less,65+,Midwest,Disapprove,Obama
655,Independent,Liberal,White,Female,Protestant,50000-74999,Post-Grad,45-64,South,Disapprove,Obama
656,Democratic,Conservative,Black,Female,Protestant,Less than 30000,College,30-44,South,Disapprove,Obama
657,Republican,Moderate,White,Female,Protestant,Less than 30000,College,65+,Midwest,Disapprove,Obama
658,Independent,Moderate,White,Female,Other,75000-99999,College,30-44,West,Approve,Obama
659,Democratic,Moderate,White,Female,Catholic,150000+,College,30-44,Midwest,Approve,Obama
660,Independent,Moderate,White,Female,Protestant,150000+,H.S. diploma or less,18-29,West,Disapprove,Obama
661,Democratic,Moderate,White,Female,Protestant,30000-49999,College,30-44,West,Approve,Obama
662,Republican,Moderate,White,Female,Catholic,30000-49999,College,30-44,Northeast,Disapprove,Obama
663,Republican,Conservative,White,Male,Protestant,30000-49999,College,45-64,West,Disapprove,Obama
664,Independent,Moderate,White,Female,Protestant,50000-74999,Post-Grad,18-29,West,Approve,Obama
665,Democratic,Liberal,White,Male,Protestant,50000-74999,College,30-44,Northeast,Approve,Obama
666,Republican,Moderate,Other,Male,Catholic,50000-74999,H.S. diploma or less,30-44,South,Disapprove,Obama
667,Republican,Liberal,Other,Female,Protestant,Less than 30000,Post-Grad,45-64,Northeast,Disapprove,Obama
668,Republican,Moderate,Black,Male,Catholic,75000-99999,H.S. diploma or less,30-44,South,Approve,Obama
669,Independent,Moderate,White,Female,Catholic,Less than 30000,College,45-64,South,Disapprove,Obama
670,Democratic,Liberal,Black,Male,Protestant,30000-49999,College,45-64,Midwest,Disapprove,Obama
671,Republican,Moderate,White,Male,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
672,Republican,Moderate,White,Female,Other,30000-49999,Post-Grad,30-44,South,Disapprove,Obama
673,Democratic,Moderate,White,Male,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
674,Republican,Conservative,White,Female,Protestant,30000-49999,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
675,Independent,Moderate,White,Female,Protestant,100000-149999,College,45-64,West,Approve,McCain
676,Independent,Conservative,White,Male,Protestant,50000-74999,College,65+,South,Disapprove,McCain
677,Democratic,Liberal,Other,Male,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
678,Democratic,Liberal,Other,Male,Protestant,50000-74999,H.S. diploma or less,30-44,West,Approve,Obama
679,Democratic,Liberal,White,Female,Protestant,75000-99999,Post-Grad,30-44,Northeast,Disapprove,Obama
680,Democratic,Moderate,White,Male,Protestant,Less than 30000,Post-Grad,30-44,West,Approve,Obama
681,Independent,Moderate,White,Male,Catholic,Less than 30000,College,30-44,South,Approve,Obama
682,Republican,Moderate,White,Female,Catholic,Less than 30000,College,65+,South,Disapprove,Obama
683,Democratic,Moderate,White,Female,Protestant,30000-49999,College,45-64,West,Disapprove,Obama
684,Republican,Moderate,White,Female,Catholic,30000-49999,College,65+,Northeast,Disapprove,Obama
685,Independent,Conservative,White,Male,Protestant,50000-74999,College,30-44,South,Approve,Obama
686,Democratic,Moderate,White,Male,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
687,Republican,Conservative,White,Male,Protestant,50000-74999,College,18-29,South,Disapprove,Obama
688,Republican,Liberal,Black,Male,Protestant,150000+,College,18-29,Northeast,Disapprove,Obama
689,Independent,Liberal,White,Male,Protestant,100000-149999,Post-Grad,18-29,South,Disapprove,Obama
690,Democratic,Liberal,White,Male,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
691,Republican,Conservative,White,Female,Catholic,100000-149999,Post-Grad,30-44,Midwest,Disapprove,Obama
692,Republican,Liberal,Other,Female,Protestant,30000-49999,College,45-64,South,Approve,McCain
693,Democratic,Liberal,White,Female,Protestant,50000-74999,Post-Grad,45-64,South,Disapprove,Obama
694,Democratic,Liberal,White,Female,Catholic,30000-49999,College,45-64,Northeast,Disapprove,Obama
695,Democratic,Moderate,White,Female,Catholic,50000-74999,College,45-64,West,Approve,Obama
696,Republican,Conservative,White,Female,Catholic,50000-74999,College,18-29,West,Disapprove,Obama
697,Republican,Moderate,White,Female,Protestant,50000-74999,College,18-29,Northeast,Disapprove,Obama
698,Democratic,Conservative,White,Female,Catholic,150000+,College,18-29,West,Disapprove,Obama
699,Republican,Conservative,White,Female,Protestant,75000-99999,Post-Grad,30-44,West,Approve,Obama
700,Democratic,Conservative,White,Female,Protestant,75000-99999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
701,Republican,Conservative,Other,Male,Protestant,75000-99999,H.S. diploma or less,45-64,South,Disapprove,Obama
702,Independent,Liberal,White,Female,Protestant,Less than 30000,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
703,Democratic,Liberal,Black,Male,Catholic,Less than 30000,College,45-64,South,Disapprove,Obama
704,Democratic,Liberal,White,Male,Catholic,100000-149999,College,18-29,South,Disapprove,Obama
705,Democratic,Liberal,White,Male,Catholic,30000-49999,College,45-64,Midwest,Disapprove,Obama
706,Democratic,Moderate,White,Male,Catholic,30000-49999,College,45-64,West,Disapprove,Obama
707,Republican,Conservative,White,Female,Catholic,30000-49999,College,45-64,Midwest,Disapprove,Obama
708,Independent,Moderate,White,Female,Protestant,100000-149999,College,18-29,Midwest,Disapprove,Obama
709,Democratic,Conservative,White,Female,Other,30000-49999,H.S. diploma or less,30-44,West,Disapprove,Obama
710,Democratic,Conservative,White,Female,Protestant,150000+,Post-Grad,30-44,Northeast,Approve,Obama
711,Republican,Conservative,White,Male,Protestant,100000-149999,Post-Grad,30-44,Midwest,Approve,Obama
712,Independent,Liberal,White,Male,Protestant,150000+,Post-Grad,30-44,West,Disapprove,Obama
713,Democratic,Conservative,White,Male,Protestant,30000-49999,College,45-64,Northeast,Approve,Obama
714,Independent,Conservative,White,Male,Catholic,150000+,College,45-64,Northeast,Disapprove,Obama
715,Democratic,Moderate,White,Male,Protestant,30000-49999,College,45-64,Northeast,Approve,Obama
716,Democratic,Liberal,White,Male,Catholic,30000-49999,College,18-29,Midwest,Disapprove,Obama
717,Independent,Moderate,Black,Female,Catholic,30000-49999,College,45-64,West,Approve,Obama
718,Independent,Moderate,White,Male,Catholic,100000-149999,College,18-29,Northeast,Approve,Obama
719,Democratic,Moderate,White,Male,Catholic,30000-49999,H.S. diploma or less,18-29,South,Disapprove,Obama
720,Republican,Moderate,White,Female,Catholic,75000-99999,Post-Grad,18-29,West,Disapprove,Obama
721,Independent,Moderate,White,Female,Other,50000-74999,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
722,Democratic,Moderate,Other,Female,Protestant,75000-99999,Post-Grad,45-64,South,Disapprove,Obama
723,Independent,Liberal,Other,Female,Protestant,Less than 30000,H.S. diploma or less,65+,Midwest,Disapprove,Obama
724,Democratic,Liberal,Other,Female,Protestant,100000-149999,College,45-64,Northeast,Disapprove,Obama
725,Democratic,Liberal,Other,Female,Catholic,Less than 30000,H.S. diploma or less,65+,South,Disapprove,Obama
726,Republican,Liberal,Black,Male,Protestant,30000-49999,College,65+,Midwest,Approve,Obama
727,Independent,Moderate,White,Male,Catholic,30000-49999,College,65+,West,Approve,Obama
728,Democratic,Moderate,Other,Male,Catholic,50000-74999,College,65+,Midwest,Disapprove,Obama
729,Democratic,Moderate,White,Female,Catholic,30000-49999,College,30-44,Midwest,Disapprove,Obama
730,Republican,Moderate,White,Male,Other,50000-74999,Post-Grad,30-44,West,Approve,Obama
731,Republican,Moderate,White,Male,Other,150000+,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
732,Independent,Conservative,White,Female,Protestant,100000-149999,Post-Grad,45-64,West,Approve,McCain
733,Democratic,Moderate,White,Female,Protestant,150000+,H.S. diploma or less,45-64,Northeast,Approve,Obama
734,Democratic,Conservative,White,Female,Protestant,100000-149999,Post-Grad,18-29,Northeast,Disapprove,Obama
735,Democratic,Conservative,White,Male,Protestant,Less than 30000,College,45-64,South,Disapprove,Obama
736,Independent,Conservative,White,Female,Protestant,30000-49999,College,18-29,Northeast,Approve,Obama
737,Republican,Conservative,White,Female,Protestant,30000-49999,College,18-29,South,Disapprove,Obama
738,Democratic,Conservative,White,Male,Protestant,50000-74999,Post-Grad,18-29,South,Disapprove,Obama
739,Republican,Liberal,Black,Male,Catholic,Less than 30000,College,30-44,Midwest,Disapprove,Obama
740,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,30-44,South,Disapprove,Obama
741,Independent,Liberal,White,Female,Protestant,100000-149999,H.S. diploma or less,45-64,South,Disapprove,Obama
742,Democratic,Moderate,White,Male,Other,30000-49999,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
743,Democratic,Conservative,White,Male,Protestant,100000-149999,College,45-64,West,Approve,Obama
744,Democratic,Conservative,Other,Female,Protestant,100000-149999,Post-Grad,45-64,Midwest,Disapprove,Obama
745,Republican,Moderate,White,Male,Protestant,100000-149999,College,45-64,West,Approve,McCain
746,Republican,Conservative,Other,Female,Protestant,30000-49999,H.S. diploma or less,18-29,West,Approve,Obama
747,Democratic,Moderate,Other,Female,Protestant,Less than 30000,Post-Grad,65+,Northeast,Disapprove,Obama
748,Republican,Liberal,Black,Female,Protestant,30000-49999,College,30-44,Midwest,Approve,Obama
749,Republican,Liberal,Black,Male,Protestant,50000-74999,College,30-44,West,Approve,Obama
750,Independent,Liberal,Other,Male,Protestant,50000-74999,College,45-64,Northeast,Approve,Obama
751,Independent,Conservative,Black,Female,Protestant,100000-149999,College,30-44,Northeast,Disapprove,Obama
752,Independent,Conservative,White,Male,Catholic,50000-74999,College,45-64,West,Disapprove,Obama
753,Democratic,Liberal,White,Female,Protestant,100000-149999,College,45-64,Northeast,Approve,Obama
754,Democratic,Moderate,White,Male,Catholic,100000-149999,H.S. diploma or less,65+,South,Disapprove,Obama
755,Republican,Conservative,White,Female,Catholic,100000-149999,Post-Grad,45-64,South,Disapprove,McCain
756,Democratic,Liberal,White,Female,Protestant,30000-49999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
757,Republican,Liberal,White,Female,Other,150000+,College,18-29,South,Disapprove,Obama
758,Democratic,Liberal,Other,Female,Protestant,50000-74999,Post-Grad,45-64,Midwest,Disapprove,Obama
759,Democratic,Moderate,Other,Female,Protestant,Less than 30000,College,45-64,Midwest,Disapprove,Obama
760,Republican,Moderate,Other,Male,Protestant,Less than 30000,College,30-44,South,Approve,Obama
761,Democratic,Moderate,Black,Male,Protestant,75000-99999,College,45-64,Midwest,Disapprove,Obama
762,Democratic,Moderate,Black,Male,Protestant,30000-49999,College,45-64,West,Disapprove,Obama
763,Independent,Moderate,White,Male,Protestant,75000-99999,College,18-29,Northeast,Disapprove,Obama
764,Democratic,Moderate,White,Male,Catholic,100000-149999,Post-Grad,45-64,Midwest,Approve,Obama
765,Democratic,Moderate,White,Female,Protestant,100000-149999,College,18-29,West,Disapprove,Obama
766,Independent,Moderate,White,Male,Catholic,Less than 30000,Post-Grad,18-29,Northeast,Disapprove,Obama
767,Democratic,Moderate,White,Male,Catholic,100000-149999,College,18-29,South,Approve,Obama
768,Democratic,Moderate,White,Male,Catholic,30000-49999,Post-Grad,45-64,Northeast,Approve,Obama
769,Independent,Moderate,Black,Female,Other,30000-49999,College,30-44,Northeast,Approve,Obama
770,Independent,Moderate,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,Northeast,Approve,Obama
771,Republican,Conservative,Black,Female,Other,50000-74999,College,45-64,South,Disapprove,Obama
772,Independent,Moderate,White,Female,Protestant,50000-74999,College,45-64,South,Disapprove,Obama
773,Independent,Moderate,White,Female,Protestant,50000-74999,College,45-64,Northeast,Disapprove,Obama
774,Democratic,Conservative,White,Female,Protestant,150000+,Post-Grad,18-29,South,Disapprove,Obama
775,Independent,Liberal,White,Female,Catholic,100000-149999,College,18-29,Midwest,Disapprove,Obama
776,Democratic,Conservative,Other,Male,Catholic,150000+,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
777,Democratic,Moderate,White,Male,Catholic,100000-149999,College,45-64,South,Disapprove,Obama
778,Independent,Moderate,White,Male,Other,30000-49999,College,30-44,Midwest,Disapprove,Obama
779,Democratic,Moderate,White,Male,Other,30000-49999,Post-Grad,30-44,West,Disapprove,Obama
780,Democratic,Moderate,White,Male,Other,Less than 30000,Post-Grad,30-44,West,Approve,Obama
781,Democratic,Moderate,White,Female,Protestant,30000-49999,College,45-64,Midwest,Disapprove,Obama
782,Republican,Moderate,White,Female,Protestant,50000-74999,College,45-64,Midwest,Approve,Obama
783,Republican,Conservative,Black,Female,Protestant,30000-49999,College,45-64,West,Approve,Obama
784,Democratic,Moderate,White,Female,Protestant,100000-149999,College,18-29,West,Disapprove,Obama
785,Independent,Conservative,White,Male,Protestant,30000-49999,College,18-29,Midwest,Approve,Obama
786,Independent,Liberal,White,Female,Protestant,150000+,College,18-29,West,Approve,Obama
787,Democratic,Moderate,Black,Male,Protestant,150000+,Post-Grad,18-29,Northeast,Disapprove,Obama
788,Republican,Conservative,White,Male,Protestant,100000-149999,Post-Grad,18-29,South,Disapprove,Obama
789,Independent,Liberal,White,Female,Catholic,30000-49999,Post-Grad,45-64,West,Disapprove,Obama
790,Democratic,Conservative,White,Male,Catholic,30000-49999,Post-Grad,30-44,Northeast,Disapprove,Obama
791,Democratic,Liberal,White,Male,Catholic,30000-49999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
792,Republican,Liberal,Other,Male,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
793,Republican,Moderate,White,Male,Catholic,50000-74999,College,45-64,South,Disapprove,Obama
794,Republican,Moderate,Other,Male,Protestant,100000-149999,College,18-29,South,Disapprove,Obama
795,Democratic,Moderate,Black,Female,Protestant,50000-74999,College,45-64,Midwest,Disapprove,Obama
796,Democratic,Moderate,White,Female,Protestant,150000+,College,30-44,Midwest,Approve,Obama
797,Democratic,Moderate,Other,Male,Protestant,100000-149999,H.S. diploma or less,65+,South,Disapprove,Obama
798,Democratic,Moderate,Other,Female,Catholic,150000+,College,30-44,Midwest,Disapprove,Obama
799,Democratic,Conservative,Black,Female,Catholic,30000-49999,College,30-44,West,Approve,Obama
800,Independent,Liberal,White,Male,Catholic,Less than 30000,College,30-44,Northeast,Approve,Obama
801,Independent,Conservative,White,Female,Catholic,Less than 30000,Post-Grad,30-44,West,Approve,Obama
802,Independent,Conservative,White,Male,Protestant,30000-49999,College,30-44,Northeast,Approve,Obama
803,Independent,Moderate,White,Female,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
804,Democratic,Liberal,White,Male,Protestant,30000-49999,College,65+,South,Disapprove,Obama
805,Republican,Moderate,White,Male,Protestant,30000-49999,College,65+,Northeast,Approve,Obama
806,Independent,Conservative,Other,Female,Protestant,50000-74999,College,30-44,Northeast,Disapprove,Obama
807,Democratic,Moderate,White,Male,Protestant,100000-149999,Post-Grad,45-64,South,Disapprove,Obama
808,Republican,Conservative,Black,Female,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
809,Republican,Conservative,White,Male,Protestant,Less than 30000,Post-Grad,30-44,South,Disapprove,Obama
810,Independent,Moderate,White,Female,Protestant,100000-149999,Post-Grad,30-44,South,Disapprove,Obama
811,Independent,Conservative,White,Male,Protestant,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
812,Independent,Conservative,White,Male,Catholic,30000-49999,College,45-64,West,Approve,Obama
813,Democratic,Conservative,White,Female,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
814,Republican,Liberal,White,Male,Protestant,50000-74999,College,45-64,South,Disapprove,Obama
815,Republican,Liberal,White,Male,Other,50000-74999,College,18-29,Midwest,Approve,Obama
816,Republican,Liberal,White,Female,Protestant,50000-74999,College,30-44,West,Disapprove,Obama
817,Democratic,Moderate,Black,Male,Protestant,150000+,College,65+,Midwest,Approve,Obama
818,Democratic,Moderate,White,Female,Protestant,100000-149999,College,30-44,Midwest,Approve,Obama
819,Democratic,Moderate,White,Male,Protestant,150000+,College,18-29,West,Disapprove,Obama
820,Democratic,Moderate,Black,Female,Protestant,75000-99999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
821,Independent,Moderate,White,Female,Catholic,Less than 30000,H.S. diploma or less,45-64,West,Approve,Obama
822,Independent,Moderate,Other,Female,Protestant,30000-49999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
823,Republican,Liberal,White,Female,Catholic,Less than 30000,College,65+,South,Disapprove,Obama
824,Republican,Conservative,Other,Male,Other,30000-49999,College,45-64,South,Disapprove,Obama
825,Republican,Conservative,White,Male,Protestant,50000-74999,College,65+,Northeast,Approve,McCain
826,Independent,Moderate,White,Male,Catholic,50000-74999,College,45-64,South,Disapprove,Obama
827,Democratic,Conservative,White,Male,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
828,Democratic,Moderate,White,Male,Protestant,50000-74999,Post-Grad,30-44,Midwest,Disapprove,Obama
829,Democratic,Moderate,White,Female,Protestant,150000+,College,30-44,South,Disapprove,Obama
830,Democratic,Liberal,White,Female,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
831,Republican,Conservative,White,Female,Protestant,100000-149999,Post-Grad,30-44,West,Disapprove,Obama
832,Independent,Conservative,Other,Female,Protestant,30000-49999,College,45-64,Northeast,Approve,Obama
833,Independent,Moderate,Black,Female,Catholic,30000-49999,College,65+,Midwest,Disapprove,Obama
834,Democratic,Moderate,White,Female,Protestant,30000-49999,Post-Grad,45-64,West,Disapprove,Obama
835,Republican,Conservative,Black,Female,Catholic,30000-49999,College,65+,Northeast,Approve,Obama
836,Republican,Conservative,White,Female,Protestant,50000-74999,Post-Grad,45-64,South,Disapprove,Obama
837,Independent,Conservative,White,Female,Catholic,150000+,College,18-29,West,Approve,Obama
838,Independent,Conservative,White,Male,Protestant,100000-149999,Post-Grad,18-29,Northeast,Approve,Obama
839,Democratic,Conservative,White,Female,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
840,Democratic,Liberal,Other,Female,Protestant,50000-74999,Post-Grad,45-64,South,Disapprove,Obama
841,Republican,Liberal,White,Male,Protestant,Less than 30000,College,45-64,South,Disapprove,Obama
842,Democratic,Liberal,White,Male,Catholic,Less than 30000,College,18-29,South,Disapprove,Obama
843,Independent,Moderate,White,Male,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
844,Republican,Moderate,White,Female,Catholic,Less than 30000,College,65+,West,Disapprove,Obama
845,Republican,Moderate,Other,Male,Catholic,Less than 30000,College,45-64,Northeast,Disapprove,Obama
846,Democratic,Conservative,Black,Male,Catholic,30000-49999,College,45-64,South,Approve,Obama
847,Republican,Moderate,Black,Female,Protestant,30000-49999,College,65+,South,Approve,Obama
848,Democratic,Liberal,White,Female,Protestant,30000-49999,College,45-64,Midwest,Disapprove,Obama
849,Independent,Liberal,Black,Female,Other,50000-74999,Post-Grad,30-44,South,Approve,Obama
850,Republican,Conservative,Black,Male,Protestant,150000+,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
851,Independent,Moderate,White,Female,Protestant,100000-149999,H.S. diploma or less,45-64,West,Disapprove,Obama
852,Democratic,Moderate,Black,Male,Protestant,30000-49999,College,65+,West,Approve,Obama
853,Democratic,Moderate,White,Male,Protestant,150000+,College,18-29,Midwest,Disapprove,Obama
854,Republican,Moderate,White,Male,Protestant,30000-49999,College,45-64,West,Disapprove,Obama
855,Republican,Liberal,White,Male,Protestant,50000-74999,College,45-64,Northeast,Disapprove,Obama
856,Republican,Moderate,White,Female,Protestant,30000-49999,College,18-29,South,Approve,Obama
857,Independent,Moderate,White,Male,Protestant,50000-74999,Post-Grad,18-29,West,Disapprove,Obama
858,Independent,Moderate,White,Female,Catholic,50000-74999,College,18-29,Northeast,Disapprove,Obama
